name,company,year,kms_driven,fuel_type,Price
Ford EcoSport Titanium,Ford,2014,34000,Diesel,590000
Chevrolet Cruze LTZ,Chevrolet,2011,35000,Diesel,350000
Chevrolet Tavera Neo,Chevrolet,2007,100800,Diesel,465000
Datsun Redi GO,Datsun,2017,16000,Petrol,235000
Maruti Suzuki Swift,Maruti,2009,90000,Diesel,120000
Toyota Etios GD,Toyota,2013,24800,Petrol,275000
Maruti Suzuki Ciaz,Maruti,2016,50000,Petrol,650000
Honda Brio,Honda,2012,30000,Petrol,224999
Mahindra Scorpio S10,Mahindra,2016,43000,Diesel,350000
Maruti Suzuki Estilo,Maruti,2007,36000,Petrol,115000
Mahindra Bolero DI,Mahindra,2017,23452,Diesel,180000
Hyundai Getz Prime,Hyundai,2009,20000,Petrol,115000
Maruti Suzuki Wagon,Maruti,2009,35000,Petrol,160000
Maruti Suzuki Alto,Maruti,2017,9400,Petrol,360000
Maruti Suzuki Zen,Maruti,2003,53000,Petrol,99999
Ford EcoSport Titanium,Ford,2016,30000,Diesel,599000
Chevrolet Enjoy,Chevrolet,2014,30201,Diesel,490000
Renault Kwid RXT,Renault,2017,5000,Petrol,340000
Maruti Suzuki Alto,Maruti,2008,70000,Petrol,95000
Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,865000
Maruti Suzuki Baleno,Maruti,2016,28000,Petrol,500000
Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
Tata Indigo eCS,Tata,2016,175430,Diesel,320000
Renault Duster 110,Renault,2012,38000,Diesel,501000
Hyundai Santro AE,Hyundai,2003,70000,Petrol,60000
Toyota Etios,Toyota,2011,36000,Diesel,275000
Hyundai Verna 1.6,Hyundai,2016,56000,Diesel,195000
Hyundai Eon,Hyundai,2018,25000,Petrol,260000
Hyundai Creta 1.6,Hyundai,2019,0,Petrol,1200000
Maruti Suzuki Swift,Maruti,2012,48006,Diesel,280000
Tata Nano Cx,Tata,2013,2200,Petrol,40000
Hyundai Santro Xing,Hyundai,2009,43200,Petrol,88000
Honda City 1.5,Honda,2005,68000,Petrol,115000
Maruti Suzuki Maruti,Maruti,2001,75000,Petrol,40000
Toyota Etios G,Toyota,2013,42000,Petrol,265000
Maruti Suzuki Alto,Maruti,2016,2450,Petrol,250000
Tata Manza,Tata,2015,100000,Diesel,100000
Chevrolet Beat LT,Chevrolet,2012,38000,Diesel,98500
Tata Venture EX,Tata,2013,30000,Diesel,100000
Chevrolet Spark LT,Chevrolet,2010,45000,Petrol,85000
Tata Indica V2,Tata,2005,80000,Diesel,39999
Renault Kwid 1.0,Renault,2018,2137,Petrol,290000
Ford EcoSport Trend,Ford,2014,47000,Petrol,465000
Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
Tata Aria Pleasure,Tata,2014,35000,Diesel,390000
Maruti Suzuki Swift,Maruti,2006,48247,Petrol,189700
Maruti Suzuki Ertiga,Maruti,2016,29000,Petrol,575000
Honda Amaze 1.5,Honda,2016,160000,Diesel,240000
Renault Kwid RXT,Renault,2015,43000,Petrol,270000
Hyundai i20 Sportz,Hyundai,2011,33333,Diesel,350000
Maruti Suzuki Wagon,Maruti,2013,39000,Petrol,105000
Maruti Suzuki Alto,Maruti,2018,3000,Petrol,310000
Honda Brio V,Honda,2012,33000,Petrol,235000
Mahindra KUV100 K8,Mahindra,2019,2875,Petrol,560000
Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
Mahindra XUV500 W8,Mahindra,2015,53000,Diesel,899000
BMW 3 Series,BMW,2011,35000,Diesel,1075000
Skoda Fabia Classic,Skoda,2010,60000,Petrol,182000
Hyundai Elite i20,Hyundai,2011,40000,Petrol,290000
Maruti Suzuki Baleno,Maruti,2017,32000,Diesel,549000
Honda City,Honda,2015,55000,Petrol,499999
Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
Honda City,Honda,2015,39000,Petrol,644999
Hyundai Eon Era,Hyundai,2013,39700,Petrol,190000
Maruti Suzuki Wagon,Maruti,2010,40000,Petrol,225000
Hyundai Verna 1.6,Hyundai,2018,42000,Diesel,855000
Ford Ikon 1.6,Ford,2003,50000,Petrol,60000
Nissan Terrano XL,Nissan,2015,60000,Diesel,499999
Maruti Suzuki Ertiga,Maruti,2015,50000,Diesel,524999
Chevrolet Beat LS,Chevrolet,2016,22000,Diesel,210000
Mahindra Scorpio VLX,Mahindra,2011,66000,Diesel,499999
Renault Duster,Renault,2014,7400,Diesel,800000
Hyundai Santro,Hyundai,2002,47000,Petrol,60000
